country,date,experiment_id,order_id,spend_usd,user_id,vertical
US,2017-04-02,12624549,6720123150182430132,49.99,3659561261588336546,ANDROID_APPS
US,2017-04-01,12624549,17511438899767627798,0.99,3659561261588336546,ANDROID_APPS
US,2017-04-04,12624549,1549342062436664018,39.99,3659561261588336546,ANDROID_APPS
US,2017-04-04,12624549,7771425263197855716,19.99,3659561261588336546,ANDROID_APPS
US,2017-04-01,12624549,17943210556580942992,19.99,3659561261588336546,ANDROID_APPS
US,2017-04-01,12624549,14181259234722501452,9.99,3659561261588336546,ANDROID_APPS
US,2017-04-06,12624549,2216871028985838700,19.99,3659561261588336546,ANDROID_APPS
US,2017-04-05,12624548,2401579091544890692,0.99,2320465914243698778,ANDROID_APPS
US,2017-04-06,12624548,6311345639701552883,4.99,14788950912323597325,ANDROID_APPS
US,2017-04-05,12624549,7059034589483462446,49.99,16325981456106360689,ANDROID_APPS
US,2017-04-01,12624548,8047726651081695000,18.99,12159209502669351307,YOUTUBE
US,2017-04-02,12624548,5603707383013558380,0.99,12159209502669351307,ANDROID_APPS
US,2017-04-06,12624549,12362551400876756253,9.13,8094820023650192121,ANDROID_APPS
US,2017-04-07,12624549,15059046880188771429,84.99,15692059163785601835,ANDROID_APPS
US,2017-04-02,12624549,2871448946156169834,9.99,2815189593328845113,ANDROID_APPS
US,2017-04-04,12624548,13459247158220046874,3.17,16577159990095179651,ANDROID_APPS
US,2017-04-03,12624548,9124965139682611283,1.99,16577159990095179651,ANDROID_APPS
US,2017-04-04,12624548,11809794351426657828,1.99,16577159990095179651,ANDROID_APPS
US,2017-04-04,12624548,13157539199411902760,3.17,16577159990095179651,ANDROID_APPS
US,2017-04-06,12624548,14490310714996236403,9.99,7921417227562122166,ANDROID_APPS
US,2017-04-04,12624548,3290475667473218394,5.99,7921417227562122166,ANDROID_APPS
US,2017-04-03,12624548,2363982117728400422,5.99,7921417227562122166,ANDROID_APPS
US,2017-04-03,12624548,3672971965948827775,5.99,7921417227562122166,ANDROID_APPS
US,2017-04-01,12624548,1413913652881772607,5.99,7921417227562122166,ANDROID_APPS
JP,2017-04-05,12624548,2525826418438548739,4.330404,4743896920079121512,ANDROID_APPS
JP,2017-04-07,12624548,3441295522770636935,8.656727,4743896920079121512,ANDROID_APPS
JP,2017-04-02,12624548,2185804523050628545,4.617505,4743896920079121512,ANDROID_APPS
JP,2017-04-02,12624548,6572076828771982860,4.303694,4743896920079121512,ANDROID_APPS
JP,2017-04-01,12624549,186226775422147605,2.904994,8260905743282750841,ANDROID_APPS
